epoch,learning_rate,loss,loss_metric,val_loss,val_loss_metric
0,0.0010000000474974513,0.01982754096388817,0.8193921446800232,0.022267136722803116,0.8379783034324646
1,0.0010000000474974513,0.011454178020358086,0.8956617116928101,0.011414747685194016,0.9147669076919556
2,0.0010000000474974513,0.009939431212842464,0.9094595909118652,0.005316644441336393,0.9494377970695496
3,0.0010000000474974513,0.009512376971542835,0.9133182764053345,0.009795058518648148,0.9176869988441467
4,0.0010000000474974513,0.009281775914132595,0.9154544472694397,0.008009996265172958,0.9373928308486938
5,0.0010000000474974513,0.00913586001843214,0.9167479276657104,0.0072576249949634075,0.9458354711532593
6,0.0010000000474974513,0.008985740132629871,0.9181473255157471,0.007906017825007439,0.924561083316803
7,0.0010000000474974513,0.008891353383660316,0.9189800024032593,0.0074186925776302814,0.9453532695770264
8,0.0005000000237487257,0.008600683882832527,0.9216755628585815,0.009144056588411331,0.9339316487312317
9,0.0005000000237487257,0.00854586623609066,0.9221199750900269,0.004384683910757303,0.9594005346298218
10,0.0005000000237487257,0.008518458344042301,0.9223837852478027,0.008038881234824657,0.931121289730072
11,0.0005000000237487257,0.008466850034892559,0.9229269623756409,0.007968585006892681,0.9386209845542908
12,0.0005000000237487257,0.008413827046751976,0.9233558773994446,0.006634287070482969,0.9512179493904114
13,0.0005000000237487257,0.00835210457444191,0.9238833785057068,0.007184664253145456,0.9326117038726807
14,0.0005000000237487257,0.00833149254322052,0.9241024255752563,0.006871865130960941,0.9479953646659851
15,0.0002500000118743628,0.008228756487369537,0.9250145554542542,0.008831989020109177,0.9366673827171326
16,0.0002500000118743628,0.008198467083275318,0.9252871870994568,0.004159418400377035,0.9619348049163818
17,0.0002500000118743628,0.008241171948611736,0.9249755144119263,0.007666577119380236,0.9338555335998535
18,0.0002500000118743628,0.00816628709435463,0.9255715608596802,0.007635925896465778,0.9416998028755188
19,0.0002500000118743628,0.008193489164113998,0.9253581762313843,0.006460120901465416,0.9527705907821655
20,0.0002500000118743628,0.008172902278602123,0.9255319833755493,0.006609643343836069,0.9386016130447388
21,0.0002500000118743628,0.008155654184520245,0.9257550835609436,0.007084785960614681,0.9452478289604187
22,0.0001250000059371814,0.00810407567769289,0.9261341691017151,0.008733720518648624,0.9372050762176514
23,0.0001250000059371814,0.008110430091619492,0.9261298775672913,0.004086269997060299,0.962955117225647
24,0.0001250000059371814,0.008100996725261211,0.9262033104896545,0.007574841845780611,0.9343385100364685
25,0.0001250000059371814,0.008098064921796322,0.9262157082557678,0.007592692971229553,0.942331850528717
26,0.0001250000059371814,0.008082744665443897,0.9263663291931152,0.006494610570371151,0.9523260593414307
27,6.25000029685907e-05,0.008056024089455605,0.9265690445899963,0.005470454227179289,0.9477950930595398
28,6.25000029685907e-05,0.008102627471089363,0.9262523055076599,0.0072676436975598335,0.9425711631774902
29,6.25000029685907e-05,0.008055916987359524,0.9265772104263306,0.009492647834122181,0.9321151971817017
30,6.25000029685907e-05,0.00807883869856596,0.926421582698822,0.003477227408438921,0.9688467979431152
31,6.25000029685907e-05,0.008041142486035824,0.926716148853302,0.008034839294850826,0.9296252727508545
32,6.25000029685907e-05,0.008087391033768654,0.9263811111450195,0.007606677711009979,0.9430201649665833
33,6.25000029685907e-05,0.008030963130295277,0.9267731308937073,0.006399880163371563,0.9529002904891968
34,6.25000029685907e-05,0.008045627735555172,0.9266847372055054,0.005350523628294468,0.9497266411781311
35,6.25000029685907e-05,0.008072463795542717,0.9265074133872986,0.0071959164924919605,0.9416150450706482
36,3.125000148429535e-05,0.008025765419006348,0.9268866777420044,0.009610003791749477,0.9314968585968018
37,3.125000148429535e-05,0.008030107244849205,0.9268384575843811,0.0035214221570640802,0.9686933755874634
38,3.125000148429535e-05,0.008050484582781792,0.9267176389694214,0.00784207321703434,0.930626630783081
39,3.125000148429535e-05,0.008039330132305622,0.9267393946647644,0.006674354430288076,0.9498094320297241
40,3.125000148429535e-05,0.00802985392510891,0.92680424451828,0.006857747677713633,0.9498176574707031
