epoch,learning_rate,loss,loss_metric,val_loss,val_loss_metric
0,0.0010000000474974513,0.015705712139606476,0.8568538427352905,0.007460627239197493,0.9460293650627136
1,0.0010000000474974513,0.00869570579379797,0.9207795858383179,0.008857359178364277,0.9352702498435974
2,0.0010000000474974513,0.00830274261534214,0.9243707656860352,0.0048140366561710835,0.9540794491767883
3,0.0010000000474974513,0.008111821487545967,0.9260819554328918,0.007975767366588116,0.9322104454040527
4,0.0010000000474974513,0.007863383740186691,0.9283632040023804,0.00686324667185545,0.9463876485824585
5,0.0010000000474974513,0.007634259760379791,0.9304319620132446,0.006033546756953001,0.9559029340744019
6,0.0010000000474974513,0.007590324617922306,0.9308539628982544,0.0069967336021363735,0.933732807636261
7,0.0010000000474974513,0.007466271053999662,0.9319599270820618,0.006151325069367886,0.9549061059951782
8,0.0005000000237487257,0.007124652620404959,0.9351055026054382,0.0073803565464913845,0.9462249279022217
9,0.0005000000237487257,0.007094230502843857,0.9353439807891846,0.0036937911063432693,0.9662012457847595
10,0.0005000000237487257,0.00706020463258028,0.9356679916381836,0.006235750392079353,0.9460611939430237
11,0.0005000000237487257,0.0070405681617558,0.9359006285667419,0.006554948631674051,0.949566125869751
12,0.0005000000237487257,0.007025974802672863,0.9359948039054871,0.005053489934653044,0.964191734790802
13,0.0005000000237487257,0.007005011197179556,0.9361516833305359,0.006348339840769768,0.9410799145698547
14,0.0005000000237487257,0.006961343344300985,0.9365780353546143,0.005514669697731733,0.9584850072860718
15,0.0002500000118743628,0.006831990089267492,0.9377368092536926,0.007264492101967335,0.9474771618843079
16,0.0002500000118743628,0.006781361531466246,0.9382040500640869,0.0036022099666297436,0.9672020077705383
17,0.0002500000118743628,0.006813090294599533,0.9379695653915405,0.005961763672530651,0.9483064413070679
18,0.0002500000118743628,0.006753090303391218,0.9384443759918213,0.006362294312566519,0.9515454769134521
19,0.0002500000118743628,0.006770299281924963,0.9383220672607422,0.00545765133574605,0.9601365923881531
20,0.0001250000059371814,0.006706696469336748,0.9388819336891174,0.0057988218031823635,0.9469242691993713
21,0.0001250000059371814,0.006684654392302036,0.9391394257545471,0.00537502858787775,0.9585750699043274
22,0.0001250000059371814,0.0066673955880105495,0.9392235279083252,0.007201822474598885,0.948157548904419
23,0.0001250000059371814,0.00666493596509099,0.9392887949943542,0.0035159247927367687,0.9683393836021423
24,0.0001250000059371814,0.006670452654361725,0.9392293691635132,0.005895945709198713,0.9489182829856873
25,0.0001250000059371814,0.006650469731539488,0.9393982291221619,0.006188609171658754,0.9533432722091675
26,0.0001250000059371814,0.006657438352704048,0.9393476247787476,0.005292099434882402,0.96149742603302
27,0.0001250000059371814,0.006626417860388756,0.9395878911018372,0.0046877735294401646,0.9559282660484314
28,0.0001250000059371814,0.006654905620962381,0.9394239783287048,0.005502710584551096,0.9564847350120544
29,6.25000029685907e-05,0.006581895053386688,0.9400035738945007,0.007974982261657715,0.9427617788314819
30,6.25000029685907e-05,0.006599202752113342,0.9399000406265259,0.0029734689742326736,0.9735123515129089
31,6.25000029685907e-05,0.006555914878845215,0.9402457475662231,0.0062990193255245686,0.944999635219574
32,6.25000029685907e-05,0.006610747426748276,0.9398177266120911,0.006102240178734064,0.9546463489532471
33,6.25000029685907e-05,0.006558660417795181,0.9401935338973999,0.00527900131419301,0.9612700939178467
34,6.25000029685907e-05,0.006566248834133148,0.9401608109474182,0.004571048077195883,0.9575654864311218
35,6.25000029685907e-05,0.006589727476239204,0.9399997591972351,0.005387444049119949,0.9562776684761047
36,3.125000148429535e-05,0.006524679716676474,0.9405514001846313,0.008050074800848961,0.9423890709877014
37,3.125000148429535e-05,0.006551392842084169,0.9403001666069031,0.003044500481337309,0.9729802012443542
38,3.125000148429535e-05,0.006547809578478336,0.9403955340385437,0.006243858952075243,0.9452189803123474
39,3.125000148429535e-05,0.006548653822392225,0.9403150677680969,0.005229657515883446,0.9609209299087524
40,3.125000148429535e-05,0.0065308441407978535,0.940463125705719,0.005450556520372629,0.9604195356369019
